PREFERRED_ABBRV|PREFERRED_FULL|PREFERRED_NLMID|PREFERRED_ISSN_PRINT|PREFERRED_ISSN_ONLINE|START_YEAR|END_YEAR|FULL_TRAIL_LENGTH|FULL_TRAIL
Mid Am Rev Sociol|Mid-American review of sociology|101085772|0732-913X||1976|1996|0|
World Bank Res Obs|The World Bank research observer|101085775|0257-3032||1986|uuuu|0|
Z Erdkundeunterr|Zeitschrift fur den Erdkundeunterricht|101085778|0044-2461||1949|1998|0|
Afr Recovery|Africa recovery|101085779|1014-0255||1987|2004|0|
Agric Inf Dev Bull|Agricultural information development bulletin|101085780|||1979|uuuu|0|
Aidos News|AIDoS news : bimonthly bulletin of the Italian Association for Women in Development. Associazione italiana donne per lo sviluppo|101085781|||19uu|uuuu|0|
AIDS Illus|AIDS illustrated|101085782|||1995|uuuu|0|
Mong J Demogr|Mongolian journal of demography : journal of Population Teaching and Research Center / National University of Mongolia = Mongolyn khun am zuin setguul / Mongol ulsyn ikh surguuliin khun am zuin surgalt sudalgaany teviin setguul|101085786|||1996|uuuu|0|
Int Spect|Internationale spectator|101085795|0020-9317||1946|uuuu|0|
Cult Confl|Cultures et conflits = Culturas y conflictos = Cultures and conflicts|101085802|1157-996X||1991|uuuu|0|
J Common Mark Stud|Journal of common market studies|101085806|0021-9886||1962|uuuu|0|
J Dev Soc|Journal of developing societies|101085807|0169-796X||1971|1984|1|Contrib Asian Stud (101087356) -Continued by-> J Dev Soc (101085807)
Natl Tax J|National tax journal|101085809|0028-0283||1948|uuuu|0|
Czas Geogr|Czasopismo geograficzne : kwartalnik Zrzeszenia Pol. Nauczycieli Geografji, Towarzystwa Geograficznego we Lwowie i Towarzystwa Geograficznego w Poznaniu|101085810|0045-9453||192u|uuuu|0|
J Econ Dyn Control|Journal of economic dynamics & control|101085812|0165-1889||1979|uuuu|0|
Demohrafichni Doslidzhennia|Demohrafichni doslidzhennia|101085813|0207-0383||1970|1986|0|
Dev Soc|Development and society (Soul Taehakkyo. Institute for Social Devdelopment and Policy Research)|101085814|||1972|1997|2|Bull Popul Dev Stud Cent (100966814) -Continued by-> Korea J Popul Dev (101084651) -Continued by-> Dev Soc (101085814)
Dritte Welt|Die Dritte Welt|101085815|0340-160X||1972|1983|0|
East Afr J Rural Dev|Eastern Africa journal of rural development|101085816|0377-7103||1973|uuuu|0|
Amic J|The Amicus journal|101085817|0276-7201||1980|uuuu|0|
Ecol Econ|Ecological economics : the journal of the International Society for Ecological Economics|101085818|0921-8009||1989|uuuu|0|
Appl Geogr Dev|Applied geography and development|101085819|0173-7619||1980|uuuu|0|
Nat Resour Forum|Natural resources forum|101085820|0165-0203||1976|uuuu|0|
Econ Sociol|Economia e sociologia (Evora, Portugal)|101085821|0390-5330||1968|uuuu|0|
Asian Econ Rev|The Asian economic review|101085822|0004-4555||1958|uuuu|0|
Asia Pac Econ Lit|Asian-Pacific economic literature|101085823|0818-9935||1987|uuuu|0|
Enlace|Enlace. Inter-American Commission of Women|101085824|0425-0702||19uu|uuuu|0|
Ekon Cas|Ekonomicky casopis|101085825|0013-3035||1953|uuuu|0|
Econ Model|Economic modelling|101085827|0264-9993||1984|uuuu|0|
Audubon|Audubon|101085828|0097-7136||1961|uuuu|0|
Ekon Keuangan Indones|Ekonomi dan Keuangan Indonesia|101085829|0126-155X||1953|uuuu|0|
J Econ Stud|Journal of economic studies (Glasgow, Scotland)|101085830|0144-3585||1974|uuuu|0|
Ber Dtsch Landeskd|Berichte zur deutschen Landeskunde|101085831|0005-9099||1941|uuuu|0|
ESRC Data Arch Bull|ESRC Data Archive bulletin|101085833|0307-1391||1990|1996|0|
New Perspect Turk|New perspectives on Turkey|101085836|0896-6346||1987|uuuu|0|
Estud CEBRAP|Estudos CEBRAP. Centro Brasileiro de Analise e Planejamento|101085838|||1971|198u|0|
Estud Fem|Estudos feministas|101085840|0104-026X||1993|uuuu|0|
Estud Econ (Sao Paulo)|Estudos economicos|101085841|0101-4161||19uu|uuuu|0|
Ethn Forum|Ethnic forum : bulletin of ethnic studies and ethnic bibliography|101085850|0278-9078||1980|1995|0|
J Assam Science Society|Journal. Assam Science Society|101085862|0587-1921||1955|uuuu|0|
Glob Cent News|Global center news / Center for Women's Global Leadership|101085868|||1994|uuuu|0|
Ghana J Sociol|Ghana journal of sociology|101085870|0435-9380||1965|uuuu|0|
First People|The First people|101085871|0703-8437||1976|uuuu|0|
Geogr Cas|Geograficky casopis = Geograficheskii zhurnal = Geographical review|101085872|0016-7193||1949|uuuu|0|
Gender Issues|Gender issues|101085873|1098-092X||1980|1997|1|Fem Issues (101085860) -Continued by-> Gender Issues (101085873)
Nor Geogr Tidsskr|Norsk geografisk tidsskrift. Norwegian journal of geography|101085890|0029-1951||1926|uuuu|0|
Adolesc Fam Health|Adolescent & family health : A & FH|101085894|1533-9890||2000|uuuu|0|
Berl Hist Stud|Berliner historische Studien|101085901|||1980|uuuu|0|
Bol Inf Cent Doc Pesqui|Boletim informativo do Centro de Documentacao e Pesquisa / CEDOPE UNISINOS|101085902|||19uu|uuuu|0|
Consommation|Consommation, revue de socio-economie|101085904|0010-6593||19uu|uuuu|0|
Countdown Istanb|Countdown to Istanbul|101085906|||19uu|uuuu|0|
Centr Asian Surv|Central Asian survey|101085907|0263-4937||1982|uuuu|0|
Columbia J World Bus|The Columbia journal of world business|101085908|0022-5428||1965|1996|0|
Comp Polit Stud|Comparative political studies|101085909|0010-4140||1968|uuuu|0|
Compare|Compare|101085910|0305-7925||1968|uuuu|0|
Dtschl Arch|Deutschland Archiv|101085911|0012-1428||1968|uuuu|0|
Contemp Southeast Asia|Contemporary Southeast Asia|101085916|0129-797X||1979|uuuu|0|
Cuad CENDES|Cuadernos del CENDES|101085918|1012-2508||1983|uuuu|0|
Crit Sociol|La Critica sociologica|101085921|0011-1546||1967|uuuu|0|
East Afr Econ Rev|Eastern Africa economic review|101085924|1011-4750||1969|uuuu|0|
Econ Bull Asia Pac|Economic bulletin for Asia and the Pacific|101085926|0378-455X||1974|1993|0|
GROOTS|GROOTS|101085932|||19uu|uuuu|0|
Labour Cap Soc|Labour capital and society. Travail capital et societe|101085941|0706-1706||1979|uuuu|0|
Indian Econ Rev|Indian economic review|101085944|0019-4670||1952|uuuu|0|
Ethiop J Dev Res|Ethiopian journal of development research|101085948|||1974|uuuu|0|
ICSSR Newsl|ICSSR newsletter. Indian Council of Social Science Research|101085949|0018-9049||1969|uuuu|0|
IBS Materi|IBS-Materialien|101085950|||198u|uuuu|0|
Etud Togol Popul|Etudes togolaises de population|101085953|1015-5554||1981|uuuu|0|
Land use policy|Land use policy|101085960|0264-8377||1984|uuuu|0|
Homemak Mag|Homemaker's magazine|101085962|0318-7802||1973|uuuu|0|
Eur Sociol Rev|European sociological review|101085963|0266-7215||1985|uuuu|0|
Eur Asia Stud|Europe-Asia studies|101085973|0966-8136||1949|1992|1|Sov Stud (100970567) -Continued by-> Eur Asia Stud (101085973)
Fam Life Matters|Family life matters|101085979|1064-6167||19uu|uuuu|0|
Fam Matters|Family matters (Melbourne, Vic.)|101085985|1030-2646||1987|uuuu|0|
FEMNET News|FEMNET news|101085991|||1989|uuuu|0|
Fertil Determ Res Notes|Fertility determinants research notes / The Population Council|101085994|||1984|uuuu|0|
J Intercult Stud|Journal of intercultural studies (Melbourne, Vic.)|101085999|0725-6868||1980|uuuu|0|
J Econ Theory|Journal of economic theory|101086004|0022-0531||1969|uuuu|0|
J Math Sociol|The Journal of mathematical sociology|101086011|0022-250X||1971|uuuu|0|
J Public Policy|Journal of public policy|101086012|0143-814X||1981|uuuu|0|
Osterr Z Stat Inform|Osterreichische Zeitschrift fur Statistik und Informatik|101086015|||1985|19uu|0|
J Soz Forsch|Journal fur Sozialforschung|101086017|0253-3995||1981|uuuu|0|
J Afr Econ|Journal of African economies|101086019|0963-8024||1992|uuuu|0|
Indian J Econ|Indian journal of economics|101086020|0019-5170||1916|uuuu|0|
Indones Q|The Indonesian quarterly|101086021|0304-2170||1972|uuuu|0|
Foldr Ert|Foldrajzi ertesito|101086022|0015-5403||1952|uuuu|0|
Int Econ J|International economic journal|101086023|1016-8737||1987|uuuu|0|
Inter Am Econ Aff|Inter-American economic affairs|101086024|0020-4943||1947|1985|0|
Friends Women Newsl|Friends of Women newsletter|101086026|||19uu|uuuu|0|
J Contemp Afr Stud|Journal of contemporary African studies : JCAS|101086027|0258-9001||1981|uuuu|0|
J Econ Behav Organ|Journal of economic behavior & organization|101086031|0167-2681||1980|uuuu|0|
Geogr Ann Ser B|Geografiska annaler. Series B, Human geography|101086035|0435-3684||1965|uuuu|0|
J Soc Econ Stud|Journal of social and economic studies|101086047|0377-0508||1973|uuuu|0|
Chungang Uihak|Chungang uihak = The Korean central journal of medicine|101086060|||1961|uuuu|0|
Konjunkturpolitik|Konjunkturpolitik|101086068|0023-3498||1954|uuuu|0|
KIPH Bull|KIPH bulletin|101086069|||1981|uuuu|0|
G Econ Ann Econ|Giornale degli economisti e annali di economia / Universita commerciale Luigi Bocconi|101086071|0017-0097||1939|uuuu|0|
Keio Econ Stud|Keio economic studies|101086076|0022-9709||1963|uuuu|0|
Pers Derecho|Persona y derecho|101086077|0211-4526||1974|uuuu|0|
Kansai Daigaku Keizai Ronshu|Kansai Daigaku keizai ronshu|101086079|0449-7554||1950|uuuu|0|
J Sociol Stud|The Journal of sociological studies|101086080|||1982|uuuu|0|
Philipp Geogr J|Philippine geographical journal|101086086|0031-7551||1953|uuuu|0|
Int J Geogr Inf Sci|International journal of geographical information science : IJGIS|101086096|1365-8816||1997|uuuu|0|
Int J Sociol Soc Policy|The International journal of sociology and social policy|101086098|0144-333X||1976|1980|1|Scott J Sociol (101087967) -Continued by-> Int J Sociol Soc Policy (101086098)
Cuad Comun AMIDEP|Cuadernos de comunicacion AMIDEP|101086105|||1987|uuuu|0|
Cuad Econ|Cuadernos de economia (Santiago, Chile)|101086106|0716-0046||1963|uuuu|0|
Cult Surv Q|Cultural survival quarterly|101086107|0740-3291||1981|uuuu|0|
Czech Sociol Rev|Czech sociological review|101086108|1210-3861||1992|1992|1|Czechoslov Sociol Rev (101093030) -Continued by-> Czech Sociol Rev (101086108)
Demogr Sveske|Demografske sveske / Centar za demografska istrazivanja Instituta drustvenih nauka Univerziteta u Beogradu|101086111|0354-4923||19uu|uuuu|0|
Dev Int|Development international|101086118|0887-2368||1987|1987|0|
Dev Civilis|Developpement & civilisations|101086121|0012-1657||1960|1973|0|
E|E (Norwalk, Conn.)|101086128|1046-8021||1990|uuuu|0|
Economia|Economia (Pontificia Universidad Catolica del Peru. Departamento de Economia)|101086131|0254-4415||1977|uuuu|0|
Econ Desarro|Economia y desarrollo|101086134|0252-8584||1970|uuuu|0|
Econ Outlook USA|Economic outlook USA|101086139|0095-3830||1974|1990|0|
Econ Humanisme|Economie et humanisme|101086144|0245-9132||1942|uuuu|0|
Econ Prospect Int|Economie prospective internationale / Centre d'etudes prospectives et d'informations internationales|101086148|0242-7818||1980|1993|0|
Econ Stat Ber|Economisch-statistische Berichten|101086154|0013-0583||1916|uuuu|0|
Educ Leadersh|Educational leadership : journal of the Department of Supervision and Curriculum Development, N.E.A|101086164|0013-1784||1943|uuuu|0|
Empir Econ|Empirical economics|101086175|0377-7332||1976|uuuu|0|
PIDSA Abstr|PIDSA abstracts|101086180|||1978|uuuu|0|
Estud Econ|Estudios de economia|101086185|||19uu|uuuu|0|
Plan Arb|Plan og arbeid|101086187|0032-0609||1966|uuuu|0|
Polit Geogr|Political geography|101086192|0962-6298||1992|uuuu|0|
Eur J Int Aff|The European journal of international affairs|101086196|0394-6444||1988|1991|0|
Polit Stud|Politische Studien|101086201|0032-3462||1950|uuuu|0|
Newsl Fam Plan Int Assist|Newsletter - Family Planning International Assistance / Planned Parenthood Federation of America. Family Planning International Assistance|101086216|2306-2525||1974|uuuu|0|
Polis|Polis (Bologna, Italy)|101086220|||1987|uuuu|0|
Freedom Rev|Freedom review|101086221|1054-3090||1970|1997|1|Freedom Issue (100972734) -Continued by-> Freedom Rev (101086221)
Geog Glas|Geografski glasnik = Bulletin de geographie|101086223|0016-7258||1929|1996|0|
Polit Mein|Die Politische Meinung|101086225|0032-3446||1956|uuuu|0|
Chirigaku Hyoron|Chirigaku hyoron|101086233|0016-7444||1925|uuuu|0|
Popul Res Bull|Population research bulletin. Pakistan Institute of Development Economics|101086241|||1978|1978|0|
Rech Econ Louvain|Recherches economiques de Louvain|101086272|0770-4518||1961|uuuu|0|
Represent Res Soc Psychol|Representative research in social psychology|101086273|0034-4907||1970|uuuu|0|
Rev Black Polit Econ|The Review of Black political economy|101086280|0034-6446||1970|uuuu|0|
Electronic J Hum Sex|The electronic journal of human sexuality|101086282||1545-5556|1998|uuuu|0|
Geogr Rev Jpn|Geographical review of Japan|101086283|0289-6001||1984|uuuu|0|
Schweiz Z Soziol|Schweizerische Zeitschrift fur Soziologie. Revue suisse de sociologie|101086292|0379-3664||19uu|uuuu|0|
Scand Actuar J|Scandinavian actuarial journal|101086294|0346-1238||1974|uuuu|0|
Sbs Ces Geogr Spol|Sbornik Ceske geograficke spolecnosti|101086295|1210-115X||1991|1995|0|
Savanna|Savanna|101086296|0331-0523||1972|uuuu|0|
SAIS Rev|SAIS review (Paul H. Nitze School of Advanced International Studies)|101086298|1946-4444|1088-3142|1989|uuuu|0|
Ruch Praw Ekon Socjol|Ruch prawniczy, ekonomiczny i socjologiczny (1962)|101086300|0035-9629||1962|uuuu|0|
Hypotenuse|Hypotenuse|101086302|||19uu|uuuu|0|
Sarvekshana|Sarvekshana|101086304|||1977|uuuu|0|
ICCW J|ICCW journal|101086306|||19uu|1993|1|ICCW News Bull (101084396) -Continued by-> ICCW J (101086306)
Rev Geogr Est|Revue geographique de l'Est|101086308|0035-3213||1961|uuuu|0|
Rev Tunis Geogr|Revue tunisienne de geographie|101086310|||1978|uuuu|0|
Rev Econ Dev|Revue d'economie du developpement|101086313|1245-4060||1993|uuuu|0|
Rev Econ Sud Ouest|Revue economique du Sud-Ouest|101086315|0395-9007||1972|1992|0|
Rev Cult Vozes|Vozes|101086317|||1957|1989|0|
Rev OIM Sobre Migr Am Lat|Revista de la OIM sobre migraciones en America Latina / Organizacion Internacional para las Migraciones = IOM Latin American migration journal / International Organization for Migration|101086319|1022-3045||1989|1996|0|
In Fire Ethics|In/fire ethics : newsletter of the International Network of Feminists Interested in Reproductive Health|101086328|1062-9564||1992|uuuu|0|
Rev Econ Cond Italy|Review of economic conditions in Italy|101086335|0034-6799||1979|uuuu|0|
Q J Adm|The quarterly journal of administration / Institute of Administration, University of Ife|101086344|0001-8333||1969|uuuu|0|
Q J Soc Aff|The Quarterly journal of social affairs|101086349|0266-8548||1985|1987|0|
Inchiesta|Inchiesta|101086354|||19uu|uuuu|0|
Rasy Nar Sovrem Etn Ras Probl|Rasy i narody / Akademiia nauk SSSR, Institut etnografii im. N.N. Miklukho-Maklaia|101086355|||1971|uuuu|0|
Res Urban Econ|Research in urban economics|101086361|0277-0121||1981|uuuu|0|
Indian J Public Adm|The Indian journal of public administration : quarterly journal of the Indian Institute of Public Administration|101086362|0019-5561||1955|uuuu|0|
Ravintsara|Ravintsara : collection medecine, sante publique|101086363|||19uu|uuuu|0|
Newsl Infant Feed Action Coalit|Newsletter (Infant Feeding Action Coalition)|101086365|1194-6180||1981|uuuu|0|
Inf Summ|Information summary (International Clearinghouse on Adolescent Fertility)|101086372|||19uu|uuuu|0|
Prac Studi Geograf|Prace i studia geograficzne / Uniwersytet Warszawski, Wydzial Geografii i Studiow Regionalnych|101086378|||1979|uuuu|0|
PSD Commun Newsl|PSD communication newsletter|101086382|||1978|uuuu|0|
Newsl Inter Afr Comm Tradit Pract Affect Health Women Child|Newsletter (Inter-African Committee on Traditional Practices Affecting the Health of Women and Children)|101086386|||1985|uuuu|0|
Probl Geogr|Problemi na geografiiata|101086393|0204-7209||1974|1998|0|
RURDS Rev Urb Reg Dev Stud|Review of urban and regional development studies : RURDS : journal of the Applied Regional Conference|101086394|0917-0553||1989|uuuu|0|
Probl Am Lat|Problemes d'Amerique latine|101086395|0765-1333||1966|uuuu|0|
Public Adm Dev|Public administration and development : a journal of the Royal Institute of Public Administration|101086396|0271-2075||1981|uuuu|0|
Q Demogr Bull|Quarterly demographic bulletin|101086397|0111-2643||1977|1980|1|Q Popul Bull (101085195) -Continued by-> Q Demogr Bull (101086397)
Inter Econ|Inter economics|101086399|0020-5346||1966|uuuu|0|
Int J Afr Hist Stud|The International journal of African historical studies|101086401|0361-7882||1968|1971|1|Afr Hist Stud (100966370) -Continued by-> Int J Afr Hist Stud (101086401)
Rural Cond Trends|Rural conditions and trends|101086402|1063-5866||1990|uuuu|0|
Sch Couns|The School counselor|101086449|0036-6536||1953|1997|0|
Seeds|Seeds (New York, N.Y.)|101086470|0736-6833||1980|uuuu|0|
Int J Mass Emerg Disasters|International journal of mass emergencies and disasters|101086485|0280-7270||1983|2007|0|
Int Wildl|International wildlife|101086486|0020-9112||1971|uuuu|0|
Mondai To Kenkyu|Mondai to kenkyu : Chugoku jijo senmonshi|101086490|0288-7738||1971|uuuu|0|
Izv Akad Nauk SSSR Ser Geogr|Izvestiia Akademii nauk SSSR. Seriia geograficheskaia|101086492|0373-2444||1951|1992|0|
J Entwickl Polit|Journal fur Entwicklungspolitik : JEP|101086496|0258-2384||1985|uuuu|0|
J Am Ethn Hist|Journal of American ethnic history|101086497|0278-5927||1981|uuuu|0|
J East Asian Aff|The Journal of East Asian affairs|101086503|1010-1608||1981|uuuu|0|
Soc Stud (Maynooth)|Social studies (Maynooth, Ireland)|101086505|0332-0502||1972|1989|0|
J Macroecon|Journal of macroeconomics|101086507|0164-0704||1979|uuuu|0|
J Mark Res|JMR, Journal of marketing research|101086509|0022-2437||1964|uuuu|0|
Soc Wetenschap|Sociale wetenschappen|101086512|||1957|uuuu|0|
J Quant Econ|Journal of quantitative economics : journal of the Indian Econometric Society|101086515|0971-1554||1985|uuuu|0|
J South Asian Middle East Stud|Journal of South Asian and Middle Eastern studies|101086520|0149-1784||1977|uuuu|0|
J Sov Natly|Journal of Soviet nationalities : a quarterly publication of the Center on East-West Trade, Investment, and Communications|101086522|1043-7916||1990|1991|0|
Sudosteuropa|Sudost Europa : [Monatsschrift der Abteilung Gegenwartsforschung des Sudost-Instituts]|101086523|0722-480X||1982|uuuu|0|
Stat Etud Midi Pyren|Statistiques & etudes: Midi-Pyrenees|101086526|0396-0099||1971|uuuu|0|
J Mark Res Soc|Journal of the Market Research Society. Market Research Society|101086530|0025-3618||1968|1999|0|
Stud Third World Soc|Studies in third world societies|101086531|1056-9189||1976|1997|0|
Stateco|Stateco|101086534|0224-098X||1972|uuuu|0|
PAN|PAN (Nigeria)|101086536|||1985|uuuu|0|
J R Stat Soc Ser C Appl Stat|Journal of the Royal Statistical Society. Series C, Applied statistics|101086541|0035-9254|1467-9876|1952|1963|1|Appl Stat (0027501) -Continued by-> J R Stat Soc Ser C Appl Stat (101086541)
Sankhya Ser B|Sankhya. Series B. [Methodological.]|101086542|0581-5738||1960|uuuu|0|
Temps Mod|Les temps modernes|101086549|0040-3075||1945|uuuu|0|
Kans Geogr|The Kansas geographer|101086550|||19uu|uuuu|0|
Tor Star|Toronto star|101086552|0319-0781||1971|uuuu|0|
Soc Nat Resour|Society & natural resources|101086555|0894-1920||1988|uuuu|0|
Sociol Trav|Sociologie du travail|101086573|0038-0296||1959|uuuu|0|
Utne Read|The Utne reader|101086575|8750-0256||1983|2002|0|Utne Read (101086575) -Continued by-> Utne Read (101086575)
Vierteljahresberichte|Vierteljahresberichte / Forschungsinstitut der Friedrich-Ebert-Stiftung|101086584|0936-451X||1967|1993|0|
WE Int|WE international|101086585|1485-1571||1980|1997|1|Women Environ (101088488) -Continued by-> WE Int (101086585)
Va Rev Sociol|Virginia review of sociology|101086588|||1992|uuuu|0|
West J Black Stud|The Western journal of black studies|101086591|0197-4327||1977|uuuu|0|
Manshur Atmajallat Dirasat Alkhalij Waal Jazirah Alarabiyah|Manshurat Majallat dirasat al-Khalij wa-al-Jazirah al-'Arabiyah / Jami'at al-Kuwayt|101086594|||19uu|uuuu|0|
Soc Prax|Social praxis|101086601|0304-2405||1973|1981|0|
Soc Change|Social change|101086602|0049-0857||1971|uuuu|0|
Marga|Marga|101086603|0047-5912||1971|uuuu|0|
Soc Labour Bull|Social and labour bulletin|101086604|0377-5380||1974|1992|0|
Sierra|Sierra|101086606|0161-7362||1977|uuuu|0|
S Afr Labour Bull|South African labour bulletin|101086607|0377-5429||1974|uuuu|0|
Wirtschaftsdienst|Wirtschaftsdienst (Hamburg, Germany : 1949)|101086612|0043-6275||1949|uuuu|0|
SusPop News|SusPop news : the Sustainable Population Society newsletter|101086626|1194-6164||1991|uuuu|0|
Soc Cult|Society and culture|101086627|0037-9662||1970|uuuu|0|
Sociol Lav|Sociologia del lavoro|101086628|0392-5048||1978|uuuu|0|
Sociol Symp|Sociological symposium|101086629|0038-027X||1968|1980|0|
S Afr Sociol Rev|South African sociological review|101086631|||1988|1995|0|S Afr Sociol Rev (101086631) -Continued by-> S Afr Sociol Rev (101086631)
ANZ J Surg|ANZ journal of surgery|101086634|1445-1433|1445-2197|1931|2000|1|Aust N Z J Surg (0373115) -Continued by-> ANZ J Surg (101086634)
Trans Inst Indian Geogr|Transactions of the Institute of Indian Geographers|101086635|||1979|uuuu|0|
Nanyang Wenti Yenchiu|Nan yang wen ti yan qiu = Southeast Asian affairs|101086636|1003-9856||1988|uuuu|0|
Unesco Sources|Unesco sources|101086640|1014-6989||1989|2001|0|
Media Dev|Media development|101086646|0143-5558||1980|uuuu|0|
Mezzog Eur|Mezzogiorno d'Europa|101086650|0392-9566||1981|1993|0|
Acta Appl Math|Acta applicandae mathematicae|101086664|0167-8019||1983|uuuu|0|
Neue Jurist Wochenschr|Neue juristische Wochenschrift|101086666|0341-1907||1947|uuuu|0|
Our Planet|Our planet : the magazine of the United Nations Environment Programme|101086669|1013-7394||1989|uuuu|0|
New Philipp|New Philippines|101086675|||19uu|uuuu|0|
Outlook Agric|Outlook on agriculture|101086677|0030-7270||1956|uuuu|0|
N Z J Geogr|New Zealand journal of geography|101086683|0028-8292||1969|uuuu|0|
Z Mag|Z magazine (Boston, Mass.)|101086685|1056-5507||1989|uuuu|0|
Z Wirtsch Sozialwiss|Zeitschrift fur Wirtschafts- und Sozialwissenschaften|101086688|0342-1783||1972|1999|0|
Common Place|A common place|101086691|1083-818X||1995|uuuu|0|
Oecon Pol|Oeconomica Polona|101086696|0137-5806||1974|1989|0|
Wiad Stat (Warsaw)|Wiadomosci statystyczne (Warsaw, Poland : 1956)|101086704|0043-518X||1956|uuuu|0|
Wiss Dienst Sudosteur|Wissenschaftlicher Dienst Sudosteuropa|101086707|0463-9642||1952|19uu|0|
Wies Wspolcz|Wies wspolczesna; pismo ruchu ludowego|101086709|0511-9375||1957|uuuu|0|
Philipp J Public Adm|Philippine journal of public administration|101086710|0031-7675||1957|uuuu|0|
World Dev Forum|World development forum|101086716|0883-1556||1983|199u|0|
Philipp Dev|Philippine development|101086719|0115-0073||1976|1996|0|
World Today|The World today|101086720|0043-9134||1945|uuuu|0|
World Bank Econ Rev|The World Bank economic review|101086721|0258-6770||1986|uuuu|0|
Afr Environ|African environment|101086734|1010-5522||1975|uuuu|0|
Afr Rev|African review (Dar es Salaam, Tanzania)|101086738|0002-0117||1971|uuuu|0|
Kenya Stat Dig|Kenya statistical digest|101086739|||1963|uuuu|0|
Afr Urban Stud|African urban studies (Michigan State University. African Studies Center)|101086741|0736-6760||1uuu|1985|1|Afr Urban Notes B (101090763) -Continued by-> Afr Urban Stud (101086741)
Kiel Geogr Schr|Kieler geographische Schriften|101086744|||1976|uuuu|0|
Agenda Salud|Agenda salud|101086745|||1922|uuuu|1|Foreign Aff (9878822) -Continued In Part By-> Agenda Salud (101086745)
Korea (South)|Korea & world affairs|101086753|0251-3072||1977|uuuu|0|
Yalkut Moreshet|Yalkut moreshet|101086901|0513-4617||1963|uuuu|0|
Womens Stud|Women's studies|101086902|0049-7878||1972|uuuu|0|
J Rutgers Univ Libr|The Journal of the Rutgers University Library|101086911|0036-0473||1937|uuuu|0|
Eighteenth Century Life|Eighteenth century life|101086914|0098-2601||1974|uuuu|0|
Denver West Roundup|The Denver Westerners roundup|101086916|0278-7970||19uu|uuuu|0|
J North La Hist Assoc|Journal (North Louisiana Historical Association)|101086918|0739-005X||1969|1998|0|
Bull Mo Hist Soc|The bulletin - Missouri Historical Society. Missouri Historical Society|101086919|0026-6590||1944|1980|0|
Ukr Rev (Lond)|Ukrainian review (London, England)|101086923|0041-6029||1954|1999|0|
Mus Geneve|Musees de Geneve|101086926|0027-3821||1944|1997|0|
Publ Mus Farm|Publicaciones del Museo de la Farmacia|101086928|||1982|uuuu|0|
Rev Deux Mondes|Revue des deux mondes (Paris, France : 1948)|101086929|0035-1962||1972|1982|1|Nouv Rev Deux Mondes (100969628) -Continued by-> Rev Deux Mondes (101086929) -Continued by-> Nouv Rev Deux Mondes (100969628)
Rev Hist Textes|Revue d'histoire des textes|101086930|0373-6075||1971|uuuu|0|
Russ Rev|The Russian review|101086933|||1941|uuuu|0|
Survey (Lond)|Survey (London, England : 1961)|101086934|0039-6192||1961|1989|0|
Agric Econ Res|Agricultural economics research|101086947|0002-1423||1949|1987|0|
AIDSED Newsl|AIDSED newsletter : newsletter of the WHO/Unesco AIDS Education and Health Promotion Materials Exchange Centre for Asia and the Pacific|101086964|||1990|uuuu|0|
All Engl Law Rep|The all England law reports|101086968|0002-5569||1948|uuuu|0|
J. R. Soc. N. Z.|Journal of the Royal Society of New Zealand|101086969|0303-6758||1971|uuuu|0|
Almustaqbal Alarabi|al-Mustaqbal al-'Arabi|101086970|1024-9834||1978|uuuu|0|
Ger Comments|German comments|101086982|||1983|1998|0|
Geoadria|Geoadria / glasilo Hrvatskog geografskog drustva--ogranak Zadar i Odsjeka za geografiju Filozofskog fakulteta u Zadru|101086986|1331-2294||1996|uuuu|0|
Adv Consum Res|Advances in consumer research. Association for Consumer Research (U.S.)|101087005|0098-9258||1974|uuuu|0|
J Am Soc Inf Sci Technol|Journal of the American Society for Information Science and Technology : JASIST|101087008|1532-2882|1532-2890|1970|2013|1|J Am Soc Inf Sci (0232761) -Continued by-> J Am Soc Inf Sci Technol (101087008)
Am Assoc Pet Geol Bull|AAPG bulletin|101087009|0149-1423||1974|uuuu|0|
Ill Res|Illinois research|101087010|0019-2201||1959|1996|0|
Rev Esp Paleontol|Revista espanola de paleontologia|101087013|0213-6937||1986|uuuu|0|
Geogr Rech|Geographie et recherche|101087025|||1972|uuuu|0|
Nuovo Cimento C|Il Nuovo cimento della Societa italiana di fisica. C|101087027|0390-5551||1978|uuuu|0|
Afr Study Monogr|African study monographs|101087030|0285-1601||1981|uuuu|0|
Gend Hist|Gender & history|101087031|0953-5233||1989|uuuu|0|
Gesch Ges|Geschichte und Gesellschaft (Vandenhoeck & Ruprecht)|101087064|0340-613X||1975|uuuu|0|
Am Univ Field Staff Rep North Am|American Universities Field Staff reports: North America|101087069|||uuuu|uuuu|0|
Southeast Eur Ser|Southeast Europe series|101087077|0066-104X||1968|1977|0|
Am Univ Field Staff Rep Afr|American Universities Field Staff reports: Africa|101087079|||uuuu|uuuu|0|
Anthropol Soc|Anthropologie et societes|101087095|0702-8997||1977|uuuu|0|
Anthropol UCLA|Anthropology U.C.L.A|101087097|0003-5564||1969|1995|0|
Issue Brief (Commonw Fund)|Issue brief (Commonwealth Fund)|101087100||1558-6847|19uu|uuuu|0|
Asian Dev Rev|Asian development review|101087110|0116-1105||1983|uuuu|0|
Asian Econ|Asian economies|101087115|0304-260X||1972|uuuu|0|
